pseudo,name,country_of_birth,birthdate,role,team
Carlsen,Carl Ulsted Carlsen,Denmark,2005-12-15,top,Team Heretics
Sheo,Théo Borile,France,2001-07-05,jungle,Team Heretics
Kamiloo,Kamil Bruno Mehdi Wahid Haudegond,France,2005-07-20,mid,Team Heretics
Flakked,Víctor Lirola Tortosa,Spain,2001-04-25,bottom,Team Heretics
Stend,Paul Lardin,France,2001-07-13,support,Team Heretics
Adam,Adam Maanane,France,2001-12-30,top,Rogue
Malrang,Kim Geun-seong,South Korea,2000-02-09,jungle,Rogue
Larssen,Emil Larsson,Sweden,2000-03-30,mid,Rogue
Patrik,Patrik Jírů,Czech Republic,2000-04-07,bottom,Rogue
Execute,Lee Jeong-hoon,South Korea,2000-02-22,support,Rogue
Naak Nako,Kaan Okan,Turkey,2005-03-24,top,Team Vitality
Lyncas,Linas Nauncikas,Lithuania,2003-12-10,jungle,Team Vitality
Czajek,Mateusz Czajka,Poland,2003-09-24,mid,Team Vitality
Carzzy,Matyáš Orság,Czech Republic,2002-01-31,bottom,Team Vitality
Hylissang,Zdravets Iliev Galabov,Bulgaria,1995-04-30,support,Team Vitality
Irrelevant,Joel Miro Scharoll,Germany,2001-10-22,top,Team BDS
113,Doğukan Balcı,Turkey,2004-08-12,jungle,Team BDS
nuc,Ilias Bizriken,Morocco,2002-10-17,mid,Team BDS
Ice,Yoon Sang-hoon,South Korea,2001-04-09,bottom,Team BDS
Parus,Polat Furkan Çiçek,Turkey,2003-02-22,support,Team BDS
Lot,Eren Yıldız,Turkey,2004-01-02,top,GIANTX
Closer,Can Çelik,Turkey,1998-09-29,jungle,GIANTX
Jackies,Adam Jeřábek,Czech Republic,2004-10-06,mid,GIANTX
Noah,Oh Hyeon-taek,South Korea,2001-10-04,bottom,GIANTX
Jun,Yoon Se-jun,South Korea,2000-08-02,support,GIANTX
JNX,Janik Bartels,Germany,1998-12-10,top,SK Gaming
ISMA,Ismaïl Boualem,France,2001-06-20,jungle,SK Gaming
RKR,Steven Chen,Germany,2001-05-15,mid,SK Gaming
Rahel,Cho Min-seong,South Korea,2004-02-13,bottom,SK Gaming
Loopy,Kim Dong-hyeon,South Korea,2004-06-09,support,SK Gaming
Myrwn,Alex Pastor Villarejo,Spain,2003-06-13,top,Movistar KOI
Elyoya,Javier Prades Batalla,Spain,2000-03-13,jungle,Movistar KOI
Jojopyun,Joseph Joon Pyun,Canada,2004-10-01,mid,Movistar KOI
Supa,David Martínez García,Spain,2000-10-23,bottom,Movistar KOI
Alvaro,Álvaro Fernández del Amo,Spain,2003-07-15,support,Movistar KOI
Oscarinin,Óscar Muñoz Jiménez,Spain,2003-06-11,top,Fnatic
Razork,Iván Martín Díaz,Spain,2000-10-07,jungle,Fnatic
Humanoid,Marek Brázda,Czech Republic,2000-03-14,mid,Fnatic
Upset,Elias Lipp,Germany,1999-12-16,bottom,Fnatic
Mikyx,Mihael Mehle,Slovenia,1998-11-02,support,Fnatic
Canna,Kim Chang-dong,South Korea,2000-02-11,top,Karmine Corp
Yike,Martin Sundelin,Sweden,2000-11-11,jungle,Karmine Corp
Vladi,Vladimiros Kourtidis,Greece,2005-08-12,mid,Karmine Corp
Caliste,Caliste Henry-Hennebert,France,2006-08-28,bottom,Karmine Corp
Targamas,Raphaël Crabbé,Belgium,2000-06-30,support,Karmine Corp
Brokenblade,Sergen Çelik,Germany,2000-01-19,top,G2 Esports
SkewMond,Rudy Semaan,France,2004-08-09,jungle,G2 Esports
Caps,Rasmus Borregaard Winther,Denmark,1999-11-17,mid,G2 Esports
Hans Sama,Steven Liv,France,1999-09-02,bottom,G2 Esports
Labrov,Lampros Papoutsakis,Greece,2002-02-12,support,G2 Esports
