date,stage,country_1,country_2,set_country_1,set_country_2
2024-07-29,Preliminary Round - Pool B,Brazil,Kenya,3,0
2024-07-31,Preliminary Round - Pool A,France,Serbia,0,3
2024-07-31,Preliminary Round - Pool C,Italy,Dominican Republic,3,1
2024-07-31,Preliminary Round - Pool B,Poland,Japan,3,1
2024-07-31,Preliminary Round - Pool C,Türkiye,Netherlands,3,2
2024-07-31,Preliminary Round - Pool B,Poland,Kenya,3,0
2024-08-01,Preliminary Round - Pool C,Türkiye,Dominican Republic,3,1
2024-08-01,Preliminary Round - Pool C,Italy,Netherlands,3,0
2024-08-01,Preliminary Round - Pool A,United States,China,2,3
2024-08-01,Preliminary Round - Pool A,France,China,0,3
2024-08-02,Preliminary Round - Pool A,United States,Serbia,3,2
2024-08-02,Preliminary Round - Pool B,Brazil,Japan,3,0
2024-08-03,Preliminary Round - Pool C,Netherlands,Dominican Republic,1,3
2024-08-03,Preliminary Round - Pool B,Japan,Kenya,3,0
2024-08-04,Preliminary Round - Pool C,Italy,Türkiye,3,0
2024-08-04,Preliminary Round - Pool A,France,United States,0,3
2024-08-04,Preliminary Round - Pool A,China,Serbia,3,1
2024-08-04,Preliminary Round - Pool B,Brazil,Poland,3,0
2024-08-06,Quarterfinals,China,Türkiye,2,3
2024-08-06,Quarterfinals,Brazil,Dominican Republic,3,0
2024-08-06,Quarterfinals,United States,Poland,3,0
2024-08-06,Quarterfinals,Italy,Serbia,3,0
2024-08-08,Semifinals,Brazil,United States,2,3
2024-08-08,Semifinals,Türkiye,Italy,0,3
2024-08-10,Bronze Medal Match,Brazil,Türkiye,3,1
2024-08-11,Gold Medal Match,United States,Italy,0,3
